10 10
  0	12	1	92	2	99	3	82	4	83	5	57	6	58	7	31	8	88	9	61	
  0	44	1	35	2	79	3	36	4	89	5	67	6	43	7	96	8	28	9	63	
  0	46	1	58	2	21	3	50	4	7	5	5	6	68	7	75	8	29	9	5	
  0	21	1	12	2	63	3	7	4	86	5	97	6	77	7	27	8	23	9	13	
  0	82	1	94	2	21	3	30	4	88	5	93	6	95	7	93	8	26	9	64	
  0	10	1	31	2	37	3	61	4	57	5	30	6	68	7	74	8	14	9	41	
  0	57	1	60	2	88	3	69	4	89	5	2	6	64	7	4	8	10	9	48	
  0	56	1	6	2	98	3	12	4	23	5	12	6	36	7	68	8	65	9	67	
  0	41	1	9	2	78	3	52	4	99	5	48	6	78	7	13	8	26	9	53	
  0	56	1	28	2	10	3	50	4	89	5	68	6	43	7	31	8	16	9	68	
