12 12
  0	15	1	40	2	83	3	48	4	98	5	36	6	49	7	88	8	37	9	99	10	57	11	75	
  0	18	1	75	2	37	3	51	4	37	5	87	6	49	7	93	8	4	9	72	10	34	11	41	
  0	1	1	33	2	15	3	76	4	88	5	55	6	25	7	24	8	23	9	14	10	97	11	8	
  0	8	1	16	2	6	3	18	4	52	5	22	6	47	7	96	8	60	9	94	10	12	11	77	
  0	44	1	39	2	85	3	5	4	15	5	89	6	49	7	16	8	56	9	68	10	88	11	4	
  0	62	1	90	2	25	3	1	4	46	5	60	6	62	7	80	8	86	9	48	10	57	11	69	
  0	57	1	33	2	55	3	4	4	61	5	1	6	48	7	87	8	26	9	13	10	21	11	51	
  0	3	1	28	2	55	3	89	4	62	5	13	6	23	7	80	8	6	9	52	10	16	11	3	
  0	18	1	64	2	39	3	84	4	81	5	27	6	1	7	87	8	32	9	41	10	32	11	5	
  0	78	1	28	2	84	3	5	4	41	5	98	6	56	7	31	8	1	9	8	10	24	11	50	
  0	62	1	41	2	91	3	31	4	35	5	64	6	57	7	95	8	52	9	76	10	34	11	39	
  0	23	1	53	2	28	3	12	4	52	5	35	6	73	7	42	8	94	9	53	10	30	11	92	
